Genes,M-Expression,S-Expression,G-Expression
Ddx21,1,1,1
Nebl,0,0,0
Sgpp2,0,0,0
Il1b,1,1,1
Mctp2,1,1,1
Nol12,1,1,1
Epha4,0,0,0
mt-Rnr2,1,1,1
Mill2,1,0,0
Mfhas1,0,0,0
Ccl8,1,1,1
Tmeff1,0,0,0
Nfatc1,0,0,0
Eif4ebp1,1,1,1
Fkbp1a,1,1,1
Lrrc59,1,1,1
Lilrb4b,1,1,1
Dcun1d5,1,1,1
Snx20,1,1,1
Ebf1,0,0,0
Slco1a4,0,0,0
Nabp1,1,1,1
Pno1,1,1,1
Ezh1,0,0,0
Tra2a,1,1,1
Rapgef2,0,0,0
Tars1,1,1,1
Nynrin,0,0,0
Mfsd6,0,0,0
mt-Rnr1,1,1,1
C2cd4c,0,0,0
Evi5,0,0,0
Egfl7,0,1,1
Ext1,1,1,1
Hmgcs2,0,0,0
Megf9,0,0,0
Ftsj3,1,1,1
Megf6,0,0,0
Specc1l,0,0,0
Yrdc,1,1,1
Tll1,1,1,1
Nanos1,0,0,0
Lgals3,1,1,1
Tbrg4,1,1,1
Ankrd6,0,0,0
Ptgds,1,0,0
Ikzf1,1,1,1
Col4a1,1,1,1
Lifr,0,0,0
Clic1,1,1,1
Hsph1,1,1,0
Pilra,1,1,1
Slco2a1,0,1,1
Scn3b,0,0,0
Ran,1,1,1
Pcca,0,0,0
Slco1c1,0,0,0
Emilin1,1,1,1
Trem1,1,1,1
Phlda1,1,1,1
Abca4,1,0,1
Afg2a,1,1,1
Runx1,1,1,1
Treml2,1,1,1
Xpr1,0,0,0
Mxi1,0,0,0
Kitl,0,0,0
Ak3,0,0,0
Tshz1,0,0,0
Ptx3,1,1,1
Galnt17,1,0,0
Vav1,1,1,1
Mif,1,1,1
Amd1,0,0,0
Ptch1,0,0,0
Calcoco1,0,0,0
A2m,1,1,1
Wdr19,0,0,0
Zic3,0,0,0
Mars1,1,1,1
Psma7,1,1,1
Ppp1r18,1,1,1
Lsp1,1,1,1
A630001G21Rik,1,1,1
Shroom1,0,0,0
Hmbox1,0,0,0
Ddx39a,1,1,1
Ipo4,1,1,1
Prom1,0,0,0
Ccn1,1,1,1
Socs7,1,0,0
Impdh2,1,1,1
Pdgfd,0,0,0
Utp18,1,1,1
S100a1,0,1,0
Gm56768,1,1,1
Bcat2,1,1,1
Flrt2,0,0,0
Bop1,1,1,1
Klhl24,0,0,0
Tmem204,0,0,0
Pcmtd1,0,0,0
Csf2ra,1,1,1
Ulk2,0,0,0
Cd52,1,1,1
Smpdl3b,1,1,1
Ocln,0,0,0
Morf4l2,1,1,1
Tecpr1,0,0,0
Ctss,1,1,1
Reck,0,0,0
Hspe1,1,1,1
Vdr,1,1,1
Mrto4,1,1,1
Pum3,1,1,1
Vps13d,0,0,0
Hcar1,0,0,0
Uba1,1,1,0
Cgnl1,0,0,0
Gars1,1,1,1
Cd53,1,1,1
Nr4a2,0,0,0
Gm74259,1,1,1
Soat2,1,1,1
Rps2,1,1,1
Cnot6l,0,0,0
Jpt1,1,1,1
Myo1g,1,1,1
S100a9,1,1,1
Ptn,0,0,0
Nolc1,1,1,1
Ccl5,1,1,1
Tfe3,1,1,1
Srm,1,1,1
Gpr132,1,1,1
Zbtb4,0,0,0
Akr1c14,0,0,0
